,cg10501210,cg12544505.2,cg23090567,cg10505126,cg05983884,cg27003880,cg15822843,cg14882408,cg10534703,cg10973332,cg27531392,cg10820794,cg03918464,cg04287515,cg02153665,cg06857737,cg27419618,cg01079466,cg18291784,cg09714739,cg25584627,cg09227056,cg27395516,cg15940363,cg25764105,cg03673311,cg08228814,cg15211069,cg13245548,cg06848063,cg05562961,cg20356598,cg19111140,cg02909927,cg24098843,cg26653463,cg08582624,cg11882709,cg22940022,cg04469650,cg12780900,cg22036689,cg23505674,cg15835565,cg12001730,cg11359133,cg06172365,cg12911558,cg06035436,cg25379954,Age
GSM9308750,0.411582809,0.96046152,0.826924169,0.340673254,0.615254788,0.374329195,0.914958436,0.480399243,0.709936474,0.876234881,0.558637492,0.693128364,0.823327288,0.898420226,0.517929688,0.834988002,0.880300991,0.667113676,0.6893172,0.626386957,0.401949341,0.326161498,0.857496579,0.480003377,0.371775538,0.67137913,0.763903015,0.517711672,0.942677215,0.83419183,0.624689993,0.807555686,0.35099053,0.551210022,0.636424297,0.452541582,0.700001739,0.353480811,0.86621192,0.937330126,0.459925411,0.436021366,0.725769344,0.385343883,0.263896321,0.310398844,0.504312629,0.533943818,0.730523587,0.82598694,9.0
GSM9308751,0.686938354,0.3229483,0.872299242,0.578694513,0.455677679,0.410058631,0.8560456,0.679560229,0.554742261,0.603994506,0.772456394,0.387528837,0.451936001,0.9083084,0.200099348,0.945579135,0.738288526,0.428314455,0.840870125,0.558794658,0.429156777,0.3821984,0.850155114,0.459676927,0.488304618,0.040764161,0.665907936,0.212465698,0.94536936,0.851259525,0.558227117,0.379496698,0.305390458,0.062586734,0.241766798,0.400570941,0.370823473,0.058467535,0.92404881,0.925824414,0.695051433,0.215632181,0.123222346,0.513418023,0.165378088,0.147060321,0.350048712,0.290127987,0.310809532,0.534062962,9.0
GSM9308752,0.716737518,0.037717659,0.870722305,0.299312478,0.46068665,0.304650415,0.83828367,0.774145201,0.621641851,0.515975681,0.883338043,0.300228754,0.448022773,0.903037578,0.251059615,0.948709193,0.59562746,0.531209281,0.853564462,0.49040566,0.496074321,0.310125851,0.736063701,0.50154949,0.496148856,0.042335103,0.806796137,0.213999809,0.967246112,0.840724304,0.42680391,0.357477355,0.195486657,0.058084019,0.215497631,0.379110603,0.241523261,0.065750301,0.928114703,0.478000678,0.647619414,0.272608634,0.12114718,0.055601304,0.199788208,0.154940762,0.414864971,0.321573112,0.370888966,0.465820205,4.0
GSM9308753,0.955346654,0.346339224,0.840323152,0.29063042,0.634396978,0.250060125,0.93038926,0.456159265,0.786522684,0.868904626,0.578074125,0.594586246,0.853814581,0.885146873,0.595456022,0.8010821,0.754265475,0.706314244,0.694396183,0.48444372,0.562268669,0.254451827,0.877971763,0.321596439,0.403003531,0.571375167,0.723289209,0.574318083,0.937942445,0.769274044,0.399100331,0.814369771,0.582139679,0.652396721,0.746430265,0.392225551,0.656310158,0.426330954,0.863640376,0.479537458,0.536984241,0.616884026,0.651845657,0.052528416,0.20807726,0.241782462,0.92865569,0.430941775,0.730906766,0.811802773,4.0
GSM9308754,0.915309587,0.38885797,0.849371984,0.344531044,0.556089204,0.374966342,0.862038274,0.569928728,0.652089213,0.721847079,0.886494953,0.296194002,0.570833865,0.909209755,0.223568242,0.930379438,0.779438302,0.416317696,0.901248577,0.631310711,0.366780137,0.298088529,0.847532644,0.349988181,0.52538561,0.173405494,0.552845955,0.208485746,0.939354583,0.816505656,0.673322663,0.505783629,0.13412995,0.069733286,0.222719402,0.594811527,0.346720308,0.06374844,0.896451307,0.915730397,0.565488744,0.330827731,0.115711282,0.481311105,0.237736003,0.205121905,0.254137766,0.418071588,0.310477913,0.60295643,3.0
GSM9308755,0.956523766,0.943934712,0.847057057,0.394720687,0.626484006,0.30709761,0.945317474,0.39009585,0.715805485,0.867311043,0.725154136,0.486773622,0.838953952,0.854972111,0.559301098,0.812857285,0.696958088,0.463410444,0.741905658,0.663552451,0.301559001,0.279526709,0.812779207,0.373947812,0.383751833,0.541548748,0.541111822,0.46205296,0.916934203,0.685033515,0.605100604,0.679748466,0.298762579,0.481594299,0.539997308,0.538100669,0.677326435,0.257222825,0.841191257,0.930061714,0.381027458,0.530162708,0.755694994,0.482071281,0.292691002,0.290971995,0.443772527,0.501375057,0.408632983,0.801963636,3.0
GSM9308756,0.961803298,0.714061285,0.913336304,0.561058643,0.733622154,0.247244094,0.45943733,0.347560082,0.768406743,0.906100543,0.897787828,0.532595318,0.931889011,0.905526188,0.198368838,0.944695325,0.822750356,0.234255325,0.942385045,0.759633586,0.266768383,0.40617006,0.29075529,0.386183008,0.462372611,0.259170134,0.636733462,0.226239287,0.945342904,0.731366892,0.949433856,0.872277017,0.336313864,0.110722014,0.674567476,0.797954999,0.862540649,0.067843146,0.906839917,0.935507855,0.017843697,0.403362104,0.675038508,0.060327888,0.205995667,0.586812071,0.366825358,0.90148733,0.905828019,0.875575224,13.0
GSM9308757,0.963132741,0.770270719,0.911456446,0.370758621,0.826403082,0.454036072,0.936451639,0.173309413,0.761223289,0.908636931,0.927818196,0.452702085,0.45464559,0.929335191,0.218700218,0.943083056,0.87768346,0.111255558,0.932311578,0.648887583,0.194317573,0.370610543,0.360846877,0.373623109,0.360971508,0.462919387,0.747946974,0.241494608,0.948406528,0.606379731,0.943347106,0.847638951,0.28375172,0.069262069,0.560914676,0.851761344,0.869702752,0.059543546,0.900707368,0.945501432,0.018255056,0.201899803,0.682811716,0.452038783,0.236272534,0.470156926,0.239068249,0.848053304,0.914443925,0.870501245,8.0
GSM9308758,0.970859269,0.727221925,0.921718381,0.463196414,0.850075994,0.27480326,0.941490019,0.380473985,0.759539369,0.923686074,0.929149443,0.418731092,0.936674829,0.930487925,0.223932464,0.948764278,0.827725041,0.220619569,0.952568018,0.744248646,0.2684981,0.245729038,0.634805998,0.404672293,0.438309459,0.214823059,0.668289846,0.170869882,0.955113847,0.753844484,0.963750917,0.828286926,0.285119026,0.08493815,0.492012073,0.888766603,0.895187496,0.053899221,0.899350357,0.95260443,0.017676115,0.421633115,0.783042503,0.931441445,0.200580023,0.415222897,0.382527854,0.884655243,0.92166663,0.883275348,10.0
GSM9308759,0.957358098,0.970292329,0.920558808,0.36946401,0.796151201,0.136652743,0.947154556,0.273614268,0.394095723,0.399333755,0.90630887,0.437518928,0.935906222,0.612072199,0.1581001,0.950814408,0.841661391,0.193981491,0.956450484,0.696122425,0.204891809,0.35207471,0.286097316,0.492254979,0.412131277,0.356886408,0.783431661,0.189325105,0.957944375,0.672396706,0.935668307,0.824937786,0.198984838,0.077048273,0.706448577,0.858220188,0.866187828,0.074477821,0.934849167,0.939341127,0.019662696,0.153903681,0.760093737,0.934909111,0.180429639,0.468130107,0.335153764,0.906673984,0.909186917,0.878567474,14.0
GSM9308760,0.963857729,0.971111891,0.924046409,0.38915789,0.825724148,0.529129574,0.478006196,0.310688497,0.391736862,0.936360342,0.912473329,0.49240578,0.936003962,0.907151799,0.251690914,0.952086997,0.83565685,0.214147484,0.962801273,0.68456249,0.323957709,0.287529394,0.47960914,0.348099975,0.422912238,0.387683205,0.793068477,0.184360327,0.948531892,0.709053686,0.940914728,0.836616738,0.181692885,0.098272163,0.50884566,0.855715495,0.871679238,0.076064265,0.929476968,0.942283819,0.019000302,0.336104701,0.815753842,0.484784559,0.226382234,0.556084275,0.230370091,0.894354591,0.904255177,0.861943451,10.0
GSM9308761,0.331688596,0.114555288,0.672192256,0.430044848,0.666034457,0.468911352,0.955954482,0.482736489,0.825491038,0.833793032,0.59110869,0.730366229,0.479430632,0.680365204,0.501529844,0.838712521,0.588058322,0.788468903,0.720792937,0.61397177,0.477201104,0.156057859,0.614515239,0.482270285,0.248944002,0.812411177,0.621910426,0.728840377,0.592621112,0.61080849,0.38073832,0.570409931,0.51463117,0.475353381,0.7806986,0.437387157,0.618889357,0.49069146,0.832364602,0.803430967,0.522644001,0.546187407,0.590908521,0.360550374,0.416644776,0.162781524,0.52172629,0.278297162,0.532589037,0.877303402,7.0
GSM9308762,0.956541073,0.74385665,0.893059488,0.37390903,0.739660711,0.25892493,0.902494202,0.242014854,0.750401063,0.891168913,0.857112673,0.479680561,0.919045927,0.901605976,0.188527539,0.935095896,0.879770046,0.198662454,0.900945048,0.740236859,0.20348149,0.421811792,0.358069703,0.351242214,0.378029774,0.25642183,0.756370334,0.146916066,0.952182235,0.624678456,0.945795565,0.9024066,0.371923718,0.147303151,0.23256262,0.874870569,0.853709357,0.059062977,0.902107247,0.941015148,0.025089629,0.332206278,0.698534849,0.062313572,0.155146885,0.529307862,0.457335354,0.929313906,0.569270527,0.848754511,10.0
GSM9308763,0.968006549,0.974143987,0.909292159,0.37712697,0.832068221,0.138237077,0.892501558,0.208077228,0.720965376,0.420539553,0.927568454,0.475645819,0.918940108,0.92913722,0.22400006,0.936552019,0.882361419,0.176572891,0.912847613,0.772602888,0.377580711,0.407575421,0.595933749,0.262872303,0.313375561,0.515802234,0.669293158,0.177342626,0.944398936,0.591769268,0.946330612,0.764303258,0.160499354,0.129248148,0.378818946,0.893885805,0.869762607,0.062049575,0.923972756,0.9129367,0.020107498,0.245828489,0.663320795,0.929167552,0.248432928,0.493400012,0.365120238,0.908052566,0.55495927,0.859196272,9.0
