"","CGid","SYMBOL","GeneRegionID","seqnames","CGstart","CGend","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","ENTREZID","transcriptId","distanceToTSS","ENSEMBL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances","genic","Intergenic","Promoter","fiveUTR","threeUTR","Exon","Intron","downstream","distal_intergenic","main_Categories","CpGislandseqnames","CpGislandstart","CpGislandend","CpGislandwidth","CpGislandstrand","CpGislandlen","CpGislandcount","CpGislandgc","CpGislandoe","CpGislandden","CpGislandpvalue","CpGisland","CGIslandNess","stackHMM","repeatElements","PMDstatus","PMDstatusDetailed","WCGW_inCommonPMDs","WCGW_GenomWide"
"5166","cg03780403","VPS13C","VPS13C_Intergenic_downstream","chr15",61916135,61916136,50,"-","Distal Intergenic",15,62198842,62209834,10993,2,"54832","uc002ahd.1",293748,"ENSG00000129003","vacuolar protein sorting 13 homolog C",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhWk3",NA,"PMD","commonPMD",NA,NA
"5167","cg03780980","ZNF207","ZNF207_Exon","chr17",30688523,30688524,50,"+","Exon (uc002hhi.4/7756, exon 6 of 11)",17,30677157,30697468,20312,1,"7756","uc002hhh.4",11317,"ENSG00000010244","zinc finger protein 207","uc002hhh.4;uc002hhi.4;uc002hhj.4;uc010csz.3;uc002hhk.1;uc002hhl.1","7756;7756;7756;7756;7756;7756","0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","TxEx1",NA,"HMD","commonHMD",NA,NA
"5168","cg03781098","GDF3","GDF3_fiveUTR","chr12",7848348,7848349,51,"+","Promoter (<=1kb)",12,7842381,7848360,5980,2,"9573","uc001qte.3",12,"ENSG00000184344","growth differentiation factor 3","uc001qte.3","9573","0",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"fiveUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","EnhA19",NA,"PMD","commonPMD",NA,NA
"5169","cg03781852","ZFHX4","ZFHX4_threeUTR","chr8",77778985,77778986,50,"-","3' UTR",8,77593515,77779521,186007,1,"79776","uc003yau.2",185420,"ENSG00000091656","zinc finger homeobox 4","uc003yau.2","79776","0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA6",NA,"PMD","commonPMD",NA,NA
"5170","cg03782417","AUTS2","AUTS2_Intron","chr7",70096103,70096104,50,"-","Intron (uc003tvw.4/26053, intron 5 of 18)",7,69063905,70257885,1193981,1,"26053","uc003tvw.4",1032200,"ENSG00000158321","activator of transcription and developmental regulator AUTS2","uc003tvw.4;uc003tvx.4","26053;26053","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA2",NA,"PMD","neither",NA,NA
"5171","cg03784629","SASH1","SASH1_Exon","chr6",148854999,148855000,50,"+","Exon (uc003qme.1/23328, exon 15 of 20)",6,148663729,148873184,209456,1,"23328","uc003qme.1",191221,"ENSG00000111961","SAM and SH3 domain containing 1","uc003qme.1;uc011eeb.1;uc003qmf.1","23328;23328;23328","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon","6",148854978,148855064,87,"*",87,9,0.586206896551724,1.20833333333333,0.103448275862069,1.12407114488207e-06,"CpGisland","+","TxEx3",NA,"HMD","commonHMD",NA,NA
"5172","cg03784958","KLHL29","KLHL29_Intron","chr2",23886735,23886736,50,"+","Intron (uc010ykg.2/114818, intron 5 of 13)",2,23608298,23931483,323186,1,"114818","uc010ykg.2",278387,"ENSG00000119771","kelch like family member 29","uc010ykg.2;uc002reg.3","114818;114818","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm4",NA,"HMD","neither",NA,NA
"5173","cg03784976","HOXB5","HOXB5_Exon","chr17",46670994,46670995,50,"+","Promoter (<=1kb)",17,46668619,46671103,2485,2,"3215","uc002inr.3",109,"ENSG00000120075","homeobox B5","uc010dbf.3;uc010dbg.3;uc010wlm.2;uc002inr.3;uc002ins.1;uc010dbh.1;uc021tzg.2;uc021tzh.1;uc021tzi.1;uc021tzj.1;uc021tzk.1","3213;3213;3213;3215;3216;3216;404266;404266;404266;404266;404266","0;0;0;0;0;0;0;0;0;0;0",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm1",NA,"PMD","commonPMD",NA,NA
"5174","cg03786140","FNBP4","FNBP4_Exon","chr11",47754170,47754171,50,"-","Exon (uc001ngj.3/23360, exon 11 of 17)",11,47738069,47788664,50596,2,"23360","uc001ngj.3",34495,"ENSG00000109920","formin binding protein 4","uc001ngj.3;uc009ylv.3;uc001ngl.2","23360;23360;23360","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx2",NA,"HMD","commonHMD",NA,NA
"5175","cg03787174","ZBTB18","ZBTB18_threeUTR","chr1",244218593,244218594,51,"-","3' UTR",1,244212241,244220780,8540,1,"10472","uc031psv.1",6352,"ENSG00000179456","zinc finger and BTB domain containing 18","uc031psv.1;uc001iad.5;uc001iae.4","10472;10472;10472","0;0;0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TxWk1",NA,"PMD","commonPMD",NA,NA
"5176","cg03787614","GRIK2","GRIK2_Exon","chr6",102372600,102372601,50,"+","Exon (uc003pqo.4/2898, exon 12 of 17)",6,101846861,102517958,671098,1,"2898","uc003pqo.4",525690,"ENSG00000164418","glutamate ionotropic receptor kainate type subunit 2","uc003pqo.4;uc003pqp.4;uc010kcw.3;uc021zdk.1;uc021zdl.1","2898;2898;2898;2898;2898","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Quies2",NA,"PMD","commonPMD","WCGW","WCGW"
"5177","cg03789534","ZIC3","ZIC3_Intergenic_upstream","chrX",136632579,136632580,51,"-","Distal Intergenic",23,136648346,136654259,5914,1,"7547","uc004fak.3",-15767,"ENSG00000156925","Zic family member 3",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC1",NA,NA,NA,NA,NA
"5178","cg03789886","TFAP2D","TFAP2D_Exon","chr6",50683302,50683303,50,"+","Exon (uc003paf.3/83741, exon 2 of 8)",6,50681257,50740746,59490,1,"83741","uc003paf.3",1996,"ENSG00000008197","transcription factor AP-2 delta","uc003paf.3;uc011dwt.2","83741;83741","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon","6",50683302,50683411,110,"*",110,9,0.6,0.965853658536585,0.0818181818181818,8.11421917537044e-06,"CpGisland","+","ReprPC1",NA,"PMD","commonPMD",NA,NA
"5179","cg03791373","PAX5","PAX5_fiveUTR","chr9",37034233,37034234,51,"+","Promoter (<=1kb)",9,36838531,37034476,195946,2,"5079","uc003zzo.1",243,"ENSG00000196092","paired box 5","uc003zzo.1;uc010mlo.1;uc010mlp.1;uc010mlq.1;uc010mlr.1;uc010mls.1;uc011lpw.1;uc011lpx.1;uc011lpy.1;uc011lpz.1;uc011lqa.1;uc011lqb.1;uc011lqc.1","5079;5079;5079;5079;5079;5079;5079;5079;5079;5079;5079;5079;5079","0;0;0;0;0;0;0;0;0;0;0;0;0",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"fiveUTR","9",37034213,37034488,276,"*",276,31,0.655797101449275,1.04494382022472,0.11231884057971,2.92335096873366e-23,"CpGisland","+","BivProm1",NA,"PMD","commonPMD",NA,NA
"5180","cg03793581","POU3F2","POU3F2_Promoter","chr6",99274462,99274463,50,"+","Promoter (8-9kb)",6,99282580,99286666,4087,1,"5454","uc003ppe.3",-8067,"ENSG00000184486","POU class 3 homeobox 2",NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC1",NA,"PMD","commonPMD",NA,NA
"5181","cg03793834","RGS7BP","RGS7BP_Promoter","chr5",63801660,63801661,50,"+","Promoter (<=1kb)",5,63801774,63908121,106348,1,"401190","uc003jtj.4",-114,"ENSG00000186479","regulator of G protein signaling 7 binding protein","uc003jtj.4","401190","0",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm2",NA,"PMD","commonPMD","WCGW","WCGW"
"5182","cg03795574","IGF1R","IGF1R_Intron","chr15",99256874,99256875,51,"-","Intron (uc010urq.2/3480, intron 2 of 10)",15,99192761,99507759,314999,1,"3480","uc002bul.3",64113,"ENSG00000140443","insulin like growth factor 1 receptor","uc010urq.2;uc002bul.3;uc010bon.3","3480;3480;3480","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEnh7",NA,"HMD","commonHMD",NA,NA
"5183","cg03795776","BACH2","BACH2_Intron","chr6",90687632,90687633,50,"-","Intron (uc003pnw.3/60468, intron 4 of 6)",6,90636247,91006627,370381,2,"60468","uc003pnw.3",318945,"ENSG00000112182","BTB domain and CNC homolog 2","uc003pnw.3;uc011eab.2;uc010kch.3","60468;60468;60468","0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA2",NA,"PMD","commonPMD",NA,NA
"5184","cg03795866","PAX2","PAX2_Intron","chr10",102567927,102567928,50,"-","Intron (uc001krk.4/5076, intron 7 of 10)",10,102505468,102589698,84231,1,"5076","uc001krk.4",62410,"ENSG00000075891","paired box 2","uc001krk.4;uc001krl.4;uc001krm.4;uc001krn.4;uc001kro.4;uc010qps.2;uc001krp.1","5076;5076;5076;5076;5076;5076;5076","0;0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","ReprPC5",NA,"PMD","commonPMD",NA,NA
"5185","cg03798041","DPY19L4","DPY19L4_Exon","chr8",95789954,95789955,50,"-","Exon (uc003ygx.2/286148, exon 14 of 19)",8,95732103,95806076,73974,1,"286148","uc003ygx.2",57853,"ENSG00000156162","dpy-19 like 4","uc003ygx.2","286148","0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx6",NA,"HMD","commonHMD",NA,NA
"5186","cg03798232","SPRY2","SPRY2_Promoter","chr13",80915505,80915506,51,"-","Promoter (<=1kb)",13,80910112,80915086,4975,2,"10253","uc001vlj.3",-469,"ENSG00000136158","sprouty RTK signaling antagonist 2","uc001vli.3;uc001vlj.3","10253;10253","0;0",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter","13",80915359,80915668,310,"*",310,40,0.719354838709677,0.997907613069371,0.129032258064516,1.53494910797873e-32,"CpGisland","+","TSS1",NA,"HMD","neither",NA,NA
"5187","cg03798942","FLI1","FLI1_Intron","chr11",128566958,128566959,51,"-","Intron (uc010sbt.2/2313, intron 1 of 6)",11,128556430,128683162,126733,1,"2313","uc010sbt.2",10528,"ENSG00000151702","Fli-1 proto-oncogene, ETS transcription factor","uc001qel.3;uc010sbt.2;uc009zci.3;uc010sbu.2;uc010sbv.2","100507392;2313;2313;2313;2313","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhA8",NA,"PMD","commonPMD",NA,NA
"5188","cg03799825","RBM15","RBM15_Intergenic_downstream","chr1",110890003,110890004,50,"+","Distal Intergenic",1,110881945,110889303,7359,1,"64783","uc001dzm.1",8060,"ENSG00000162775","RNA binding motif protein 15","uc001dzl.1;uc001dzm.1","64783;64783","0;0",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx4",NA,"HMD","neither",NA,NA
"5189","cg03801113","MAP1A","MAP1A_Exon","chr15",43821949,43821950,51,"-","Exon (uc001zrt.3/4130, exon 5 of 6)",15,43809806,43823818,14013,1,"4130","uc001zrt.3",12143,"ENSG00000166963","microtubule associated protein 1A","uc001zrt.3;uc021sjw.1;uc001zrw.3;uc001zrx.2;uc001zry.4;uc021sjx.1","4130;9677;9677;9677;9677;9677","0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","TxEnh5",NA,"HMD","commonHMD",NA,NA
"5190","cg03802153","LINC01343","LINC01343_Intron","chr1",38679403,38679404,50,"-","Intron (uc021olp.1/339442, intron 1 of 3)",1,38674706,38680439,5734,2,"339442","uc021olp.1",1037,"ENSG00000237290","long intergenic non-protein coding RNA 1343","uc021olp.1","339442","0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron","1",38679326,38679493,168,"*",168,11,0.595238095238095,0.741870734644721,0.0654761904761905,4.58293303406893e-06,"CpGisland",NA,"EnhA7",NA,"PMD","commonPMD",NA,NA
"5191","cg03802507","VPS13D","VPS13D_Intron","chr1",12538487,12538488,50,"-","Intron (uc001atv.3/55187, intron 67 of 69)",1,12290113,12572098,281986,1,"55187","uc001atv.3",248376,"ENSG00000048707","vacuolar protein sorting 13 homolog D","uc001atv.3;uc001atw.3;uc001atx.3;uc009vnl.3;uc010obd.2","55187;55187;55187;55187;55187","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","PromF2",NA,"HMD","commonHMD",NA,NA
"5192","cg03802948","DMBX1","DMBX1_Intergenic_upstream","chr1",46949396,46949397,50,"+","Distal Intergenic",1,46972668,46979886,7219,1,"127343","uc001cpw.3",-23272,"ENSG00000197587","diencephalon/mesencephalon homeobox 1",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream","1",46949367,46949481,115,"*",115,11,0.660869565217391,0.876645876645877,0.0956521739130435,9.95566747521825e-08,"CpGisland","-","ReprPC2",NA,"PMD","neither",NA,NA
"5193","cg03803713","RYBP","RYBP_threeUTR","chr3",72427368,72427369,50,"-","3' UTR",3,72423744,72495774,72031,2,"23429","uc003dpe.3",68406,"ENSG00000163602","RING1 and YY1 binding protein","uc003dpe.3","23429","0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","Tx5",NA,"HMD","commonHMD",NA,NA
"5194","cg03804354","RBM10","RBM10_Exon","chrX",47034471,47034472,50,"-","Exon (uc004dhf.3/8241, exon 6 of 24)",23,47004617,47038562,33946,1,"8241","uc004dhe.2",29805,"ENSG00000182872","RNA binding motif protein 10","uc004dhe.2;uc004dhf.3;uc004dhg.3;uc004dhh.3;uc004dhi.3;uc010nhq.3","8241;8241;8241;8241;8241;8241","0;0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon","X",47034326,47034503,178,"*",178,14,0.595505617977528,0.892230576441103,0.0786516853932584,1.36860921938051e-08,"CpGisland","+","TxEx3",NA,NA,NA,NA,NA
"5195","cg03804622","GRK2","GRK2_Exon","chr11",67052398,67052399,51,"-","Exon (uc009yrn.1/156, exon 19 of 21)",11,67033905,67054029,20125,1,"156","uc009yrn.1",18493,"ENSG00000173020","G protein-coupled receptor kinase 2","uc009yrn.1;uc001okc.2;uc001okd.2;uc001oke.2","156;338692;338692;338692","0;-4314;-4314;-4314",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Exon","11",67052395,67052510,116,"*",116,15,0.767241379310345,0.892307692307692,0.129310344827586,1.92912972796063e-12,"CpGisland",NA,"TxEnh6",NA,"HMD","commonHMD",NA,NA
"5196","cg03804727","ADGRA2","ADGRA2_threeUTR","chr8",37701412,37701413,50,"+","3' UTR",8,37654401,37701504,47104,1,"25960","uc003xkj.3",47012,"ENSG00000020181","adhesion G protein-coupled receptor A2","uc003xkj.3;uc010lvy.3;uc003xkk.3","25960;25960;55290","0;0;0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TxEnh8",NA,"PMD","neither",NA,NA
"5197","cg03805199","BAZ2A","BAZ2A_threeUTR","chr12",56991920,56991921,50,"-","3' UTR",12,56989380,56995976,6597,2,"11176","uc001slo.1",4005,"ENSG00000076108","bromodomain adjacent to zinc finger domain 2A","uc001slo.1;uc009zov.1;uc009zow.1;uc001slp.1;uc001slq.1;uc001sln.2;uc009zou.2;uc010sqp.1;uc010sqq.1","11176;11176;11176;11176;11176;5939;5939;5939;5939","0;0;0;0;0;76313;76313;76313;76313",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-","TxEx2",NA,"HMD","commonHMD",NA,NA
"5198","cg03805542","TNRC6B","TNRC6B_Exon","chr22",40662062,40662063,50,"-","Exon (uc003ayn.4/23112, exon 5 of 21)",22,40440821,40731812,290992,1,"23112","uc003aym.3",221243,"ENSG00000100354","trinucleotide repeat containing adaptor 6B","uc003aym.3;uc031rxt.1;uc003ayn.4;uc011aor.2;uc003ayo.3","23112;23112;23112;23112;23112","0;0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TxEnh6",NA,"HMD","commonHMD",NA,NA
"5199","cg03806737","TBCA","TBCA_Intergenic_upstream","chr5",77140247,77140248,50,"+","Distal Intergenic",5,76987074,77072185,85112,2,"6902","uc003kfi.1",-68064,"ENSG00000171530","tubulin folding cofactor A",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm1",NA,"PMD","neither",NA,NA
"5200","cg03807462","CACNA1H","CACNA1H_Intron","chr16",1217489,1217490,51,"+","Intron (uc002cks.3/8912, intron 2 of 34)",16,1203241,1271772,68532,1,"8912","uc002cks.3",14198,"ENSG00000196557","calcium voltage-gated channel subunit alpha1 H","uc002cks.3;uc002ckt.3","8912;8912","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhWk3",NA,"PMD","commonPMD",NA,NA
"5201","cg03808378","SP4","SP4_Intergenic_upstream","chr7",21240232,21240233,50,"-","Distal Intergenic",7,21467689,21554151,86463,1,"6671","uc003svb.3",-227455,"ENSG00000105866","Sp4 transcription factor",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","HET2",NA,"PMD","commonPMD",NA,NA
"5202","cg03809296","CXXC5","CXXC5_Intron","chr5",139056687,139056688,50,"-","Intron (uc010jfg.1/51523, intron 1 of 2)",5,139028301,139062680,34380,1,"51523","uc010jfg.1",28388,"ENSG00000171604","CXXC finger protein 5","uc010jfg.1;uc003let.2","51523;51523","0;0",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Intron","5",139056665,139056740,76,"*",76,9,0.710526315789474,0.95,0.118421052631579,3.38180824252162e-07,"CpGisland","+","EnhWk2",NA,"HMD","commonHMD",NA,NA
"5203","cg03809346","HOXB5","HOXB5_fiveUTR","chr17",46671077,46671078,50,"+","Promoter (<=1kb)",17,46668619,46671103,2485,2,"3215","uc002inr.3",0,"ENSG00000120075","homeobox B5","uc010dbf.3;uc010dbg.3;uc010wlm.2;uc002inr.3;uc002ins.1;uc010dbh.1;uc021tzg.2;uc021tzh.1;uc021tzi.1;uc021tzj.1;uc021tzk.1","3213;3213;3213;3215;3216;3216;404266;404266;404266;404266;404266","0;0;0;0;0;0;0;0;0;0;0",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"fiveUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm4",NA,"PMD","commonPMD",NA,NA
"5204","cg03810004","PATZ1","PATZ1_Exon","chr22",31731812,31731813,51,"-","Exon (uc003akp.3/23598, exon 3 of 5)",22,31721790,31742249,20460,2,"23598","uc003akp.3",10387,"ENSG00000100105","POZ/BTB and AT hook containing zinc finger 1","uc003akp.3;uc003akq.3;uc003akr.3;uc003aks.3","23598;23598;23598;23598","0;0;0;0",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Exon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEnh4",NA,"HMD","commonHMD",NA,NA
"5205","cg03810626","MVB12B","MVB12B_Intergenic_upstream","chr9",128998059,128998060,50,"+","Distal Intergenic",9,129089123,129159912,70790,1,"89853","uc004bqg.2",-91013,"ENSG00000196814","multivesicular body subunit 12B",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_upstream","9",128998059,128998426,368,"*",368,30,0.58695652173913,0.946502057613169,0.0815217391304348,3.15276289459843e-18,"CpGisland",NA,"ReprPC6",NA,"PMD","commonPMD",NA,NA
"5206","cg03810913","ZMIZ1-AS1","ZMIZ1-AS1_Promoter","chr10",80828648,80828649,51,"+","Promoter (<=1kb)",10,80777214,80828536,51323,2,"283050","uc001kab.1",-62,"ENSG00000224596","ZMIZ1 antisense RNA 1","uc001jzx.3;uc001jzy.3;uc001jzz.3;uc001kab.1;uc001kaf.2","283050;283050;283050;283050;57178","0;0;0;0;0",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter","10",80828454,80828651,198,"*",198,30,0.702020202020202,1.32352941176471,0.151515151515152,6.12655653486488e-27,"CpGisland",NA,"TSS1","Low_complexity","HMD","commonHMD",NA,NA
"5207","cg03811319","KCNQ1DN","KCNQ1DN_Promoter","chr11",2884118,2884119,51,"-","Promoter (7-8kb)",11,2891263,2893336,2074,1,"55539","uc009ydq.3",-7145,"ENSG00000237941","KCNQ1 downstream neighbor",NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Promoter","11",2884118,2884382,265,"*",265,32,0.758490566037736,0.840103031503864,0.120754716981132,4.28616532759143e-25,"CpGisland",NA,"BivProm3",NA,"HMD","commonHMD",NA,NA
"5208","cg03811496","PSMD11","PSMD11_threeUTR","chr17",30807809,30807810,50,"-","3' UTR",17,30771481,30810337,38857,1,"5717","uc002hhm.4",36278,"ENSG00000108671","proteasome 26S subunit, non-ATPase 11","uc010wbz.2;uc002hhm.4;uc010cta.2","5717;5717;5717","0;0;0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx2",NA,"HMD","commonHMD",NA,NA
"5209","cg03811583","DMD","DMD_fiveUTR","chrX",33357628,33357629,51,"-","Promoter (<=1kb)",23,31137345,33357726,2220382,2,"1756","uc004ddb.1",48,"ENSG00000198947","dystrophin","uc004ddb.1;uc004ddf.3","1756;1756","0;0",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"fiveUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BivProm4",NA,NA,NA,NA,NA
"5210","cg03812924","SAMD4B","SAMD4B_threeUTR","chr19",39874185,39874186,50,"-","3' UTR",19,39833108,39875488,42381,1,"55095","uc002ola.3",41028,"ENSG00000179134","sterile alpha motif domain containing 4B","uc002old.4;uc002ole.2;uc010xuv.3;uc002ola.3;uc002olb.3","54623;54623;54623;55095;55095","7650;7650;7650;0;0",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"threeUTR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","TxEx3",NA,"HMD","commonHMD",NA,NA
"5211","cg03814557","HSPA8","HSPA8_Intergenic_downstream","chr11",122910764,122910765,50,"+","Distal Intergenic",11,122928200,122931094,2895,2,"3312","uc009zbc.3",20330,"ENSG00000109971","heat shock protein family A (Hsp70) member 8",NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","EnhWk3",NA,"HMD","neither",NA,NA
"5212","cg03815476","LBX1","LBX1_Intergenic_downstream","chr10",102982459,102982460,50,"-","Distal Intergenic",10,102986733,102988717,1985,2,"10660","uc001ksx.3",6307,"ENSG00000138136","ladybird homeobox 1","uc001ksx.3","10660","6258",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Intergenic_downstream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+","BivProm2",NA,"HMD","neither",NA,NA
